2013-08-02T15:10:54.038275, touch, yvonne, 404.5, 347.0, 10.770329475402832
2013-08-02T15:10:54.048689, touch, yvonne, 405.5, 355.0, 8.062257766723633
2013-08-02T15:10:54.076542, touch, yvonne, 405.5, 365.0, 10.0
2013-08-02T15:10:54.088717, touch, yvonne, 405.5, 375.0, 10.0
2013-08-02T15:10:54.101129, touch, yvonne, 403.0, 386.0, 11.280513763427734
2013-08-02T15:10:54.117639, touch, yvonne, 398.0, 395.5, 10.735455513000488
2013-08-02T15:10:54.137711, touch, yvonne, 391.0, 404.0, 11.011357307434082
2013-08-02T15:10:54.148891, touch, yvonne, 384.0, 411.0, 9.899495124816895
2013-08-02T15:10:54.165991, touch, yvonne, 376.0, 417.5, 10.307764053344727
2013-08-02T15:10:54.186839, touch, yvonne, 368.0, 423.5, 10.0
2013-08-02T15:10:54.198550, touch, yvonne, 359.0, 427.0, 9.656603813171387
2013-08-02T15:10:54.216248, touch, yvonne, 351.0, 430.0, 8.5440034866333
2013-08-02T15:10:54.232084, touch, yvonne, 341.5, 431.5, 9.617691993713379
2013-08-02T15:10:54.255503, touch, yvonne, 332.5, 432.0, 9.013877868652344
2013-08-02T15:10:54.267196, touch, yvonne, 324.5, 432.0, 8.0
2013-08-02T15:10:54.282191, touch, yvonne, 316.5, 430.5, 8.139410018920898
2013-08-02T15:10:54.305728, touch, yvonne, 309.0, 427.0, 8.276473045349121
2013-08-02T15:10:54.322038, touch, yvonne, 302.0, 420.0, 9.899495124816895
2013-08-02T15:10:54.333458, touch, yvonne, 297.0, 415.0, 7.071067810058594
2013-08-02T15:10:54.348670, touch, yvonne, 292.0, 408.0, 8.602325439453125
2013-08-02T15:10:54.372017, touch, yvonne, 288.5, 400.0, 8.732124328613281
2013-08-02T15:10:54.383161, touch, yvonne, 285.5, 391.5, 9.013877868652344
2013-08-02T15:10:54.398847, touch, yvonne, 284.5, 384.0, 7.566372871398926
2013-08-02T15:10:54.421518, touch, yvonne, 284.0, 374.5, 9.51314926147461
2013-08-02T15:10:54.437939, touch, yvonne, 284.0, 366.0, 8.5
2013-08-02T15:10:54.451442, touch, yvonne, 286.5, 356.0, 10.307764053344727
2013-08-02T15:10:54.464433, touch, yvonne, 291.0, 347.5, 9.617691993713379
2013-08-02T15:10:54.488757, touch, yvonne, 297.0, 340.5, 9.219544410705566
2013-08-02T15:10:54.498968, touch, yvonne, 304.0, 334.5, 9.219544410705566
2013-08-02T15:10:54.521415, touch, yvonne, 312.0, 330.0, 9.178779602050781
2013-08-02T15:10:54.535167, touch, yvonne, 320.5, 326.0, 9.394146919250488
